Logging to logs_elo

##### Rank 4 #####
Loading tictactoe 4 models...
Loading _model_04_00001_0_0.66_101376_.zip
Loading _model_04_00016_0_0.58_490496_.zip
Loading _model_04_00031_0_0.7_736256_.zip
Loading _model_04_00046_0_0.62_941056_.zip
Loading _model_04_00061_0_0.88_1186816_.zip
Loading _model_04_00076_0_0.54_1453056_.zip
Loading _model_04_00091_0_0.96_1780736_.zip
Loading _model_04_00106_0_0.6_1934336_.zip
Loading _model_04_00121_0_0.8_2190336_.zip
Loading _model_04_00136_0_0.62_2436096_.zip
Loading _model_04_00151_0_0.52_2835456_.zip
Loading _model_04_00166_0_0.67_3050496_.zip
Loading _model_04_00181_0_0.96_3255296_.zip
Loading _model_04_00196_0_0.78_3521536_.zip
Loading _model_04_00211_0_0.76_3767296_.zip
Loading _model_04_00226_0_0.99_4156416_.zip
Loading _model_04_00241_0_0.67_6767616_.zip
Loading _model_04_00256_0_0.76_7013376_.zip

Playing 100 games for each of 18 policies...
Gameplay 1-0 finished, policy 1 ELO rating: 576.0
Gameplay 2-1 finished, policy 2 ELO rating: 2912.0
Gameplay 3-2 finished, policy 3 ELO rating: 3136.0
Gameplay 4-3 finished, policy 4 ELO rating: 144.0
Gameplay 5-4 finished, policy 5 ELO rating: 2432.0
Gameplay 6-5 finished, policy 6 ELO rating: 1456.0
Gameplay 7-6 finished, policy 7 ELO rating: 2816.0
Gameplay 8-7 finished, policy 8 ELO rating: 3136.0
Gameplay 9-8 finished, policy 9 ELO rating: 1664.0
Gameplay 10-9 finished, policy 10 ELO rating: 688.0
Gameplay 11-10 finished, policy 11 ELO rating: 3072.0
Gameplay 12-11 finished, policy 12 ELO rating: 288.0
Gameplay 13-12 finished, policy 13 ELO rating: 2944.0
Gameplay 14-13 finished, policy 14 ELO rating: 976.0
Gameplay 15-14 finished, policy 15 ELO rating: 2592.0
Gameplay 16-15 finished, policy 16 ELO rating: 1360.0
Gameplay 17-16 finished, policy 17 ELO rating: 2592.0

Rank 4 elo sent
