Logging to logs_elo

##### Rank 3 #####
Loading tictactoe 3 models...
Loading _model_03_00001_0_0.52_80896_.zip
Loading _model_03_00016_0_0.6_439296_.zip
Loading _model_03_00031_0_0.73_644096_.zip
Loading _model_03_00046_0_0.52_879616_.zip
Loading _model_03_00061_0_0.76_4197376_.zip
Loading _model_03_00076_0_0.59_4781056_.zip
Loading _model_03_00091_0_0.77_5999616_.zip
Loading _model_03_00106_0_0.87_6224896_.zip
Loading _model_03_00121_0_0.87_6859776_.zip
Loading _model_03_00136_0_0.98_7156736_.zip
Loading _model_03_00151_0_0.97_7484416_.zip
Loading _model_03_00166_0_0.52_7863296_.zip
Loading _model_03_00181_0_0.55_8109056_.zip
Loading _model_03_00196_0_0.61_8498176_.zip
Loading _model_03_00211_0_0.87_8918016_.zip
Loading _model_03_00226_0_0.56_9542656_.zip
Loading _model_03_00241_0_0.68_11099136_.zip
Loading _model_03_00256_0_0.56_12491776_.zip

Playing 100 games for each of 18 policies...
Gameplay 1-0 finished, policy 1 ELO rating: 576.0
Gameplay 2-1 finished, policy 2 ELO rating: 1520.0
Gameplay 3-2 finished, policy 3 ELO rating: 1296.0
Gameplay 4-3 finished, policy 4 ELO rating: 1872.0
Gameplay 5-4 finished, policy 5 ELO rating: 1504.0
Gameplay 6-5 finished, policy 6 ELO rating: 1872.0
Gameplay 7-6 finished, policy 7 ELO rating: 1456.0
Gameplay 8-7 finished, policy 8 ELO rating: 2848.0
Gameplay 9-8 finished, policy 9 ELO rating: 1312.0
Gameplay 10-9 finished, policy 10 ELO rating: 976.0
Gameplay 11-10 finished, policy 11 ELO rating: 2368.0
Gameplay 12-11 finished, policy 12 ELO rating: 1472.0
Gameplay 13-12 finished, policy 13 ELO rating: 1776.0
Gameplay 14-13 finished, policy 14 ELO rating: 1408.0
Gameplay 15-14 finished, policy 15 ELO rating: 2800.0
Gameplay 16-15 finished, policy 16 ELO rating: 1632.0
Gameplay 17-16 finished, policy 17 ELO rating: 1264.0

Rank 3 elo sent
